,original,action,situation,session_id,litw,socialchem,delphi,gpt4,age,gender,ethnicity,religion,education,country_longest,country_residence,native_language
3767,assuming someone has a disability because they talk differently.,['not assuming also someone who has a disability because they talk differently.'],"In Texas, her new teachers though her accent was a speech impediment.",265.0,-1.0,-1.0,-1.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3768,not thinking about someone's feeling or emotional well being.,"[""not about thinking about losing someone's emotional feeling or emotional to well being.""]",telling this girl who contacts me (after not talking for years) that I have a girlfriend,265.0,-2.0,-1.3333333333333333,-1.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3769,being honest about your beliefs.,['keep being honest about facing your beliefs.'],"saying ""I believe every woman should have the right to abortion but I would rather have a vasectomy than have my partner to abort my child unless there's danger to the mother's health"" when my friend asked my stance on abortion",265.0,2.0,1.0,1.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3770,dating someone who cross-dresses.,['dating another someone black who cross - stitch dresses.'],Wondering what it feels like to wear a nightdress,265.0,0.0,-0.6666666666666666,0.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3771,wanting to get back at someone who cheated on you.,['always wanting forgiveness to get thrown back at the someone who cheated on you.'],wanting revenge on cheating ex,265.0,1.0,0.0,0.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3772,getting upset over being homesick,['getting too upset enough over being homesick'],getting mad that my girlfriend wants to spend entire weekends at her family's house,265.0,0.0,0.0,-1.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3773,wanting a partner to handle their home responsibilities on their own.,['wanting a partner to handle handling their different home front responsibilities on their quite own.'],expecting my parenting partner to find a sitter when his work schedule changes,265.0,-1.0,0.3333333333333333,0.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3774,telling someone what to do.,['telling me someone about what to do.'],One day her doctor told her she needed to cut back on the drinks.,265.0,-1.0,-1.0,-1.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3775,being famous for things.,['about being famous just for things.'],He was known for his famous pancake house.,265.0,2.0,0.0,0.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3776,not forgiving someone after a sexual infidelity has occurred.,['know not... forgiving someone after a recent sexual sexual infidelity has occurred.'],wanting to leave when we've both cheated,265.0,0.0,0.0,0.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3777,expecting a cheater to always be a cheater.,['nobody expecting even a cheater appears to always be already a cheater.'],'Other Woman' Who Won Now Wishes She Hadn't,265.0,-1.0,0.1666666666666666,0.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3778,telling someone else what to do with their pet.,['telling them someone else what to just do with them their pet.'],telling my roommate he needs to find a temporary home for his cat,265.0,-2.0,-1.0,-1.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3779,children doing risky things.,['little children doing risky daily things.'],Sam broke his leg as a child.,265.0,-1.0,-0.1666666666666666,-1.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
3780,letting your kids solve their own problems.,['or letting your respective kids both solve their own problems.'],Girl Unhappy With Her Room Should Take Charge Herself,266.0,0.0,0.1666666666666666,1.0,0.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
3781,telling your sibling what to do.,['telling your sibling is what... to not do.'],wanting my sister to get my new boots,266.0,-1.0,-1.0,-1.0,0.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
3782,questioning your sexual orientation.,['questioning is your sexual object orientation.'],Had a 3sum with two trans girls last night. I consider myself straight.,266.0,1.0,0.0,0.0,0.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
3783,going out fishing.,['and going out line fishing.'],After a few more minutes he landed the fish to his boat.,266.0,1.0,0.0,0.0,0.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
3784,shunning family.,['never shunning your family.'],"I want to be in a position where I'm better off than my mother and sister and they need my help, but I shun them.",266.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
3785,cheating on your partner.,['cheating was on your business partner.'],not wanting anything to do with my dad after he cheated on my mom with a guy,266.0,-2.0,-2.0,-1.0,-1.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
3786,staying on good terms with your ex.,['for staying on good physical terms but with your ex.'],Hanging out with my ex,266.0,0.0,0.75,1.0,0.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
3787,hating someone just because they made a single mistake.,['hating hating being someone just because they made... a single mistake.'],getting hating my housemate/classmate for flaking on her promise to do some work on our project,266.0,-1.0,-1.2,-1.0,-1.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
3788,not wanting to hear foul language.,['for not wanting her to hear any foul language.'],making not allowing swearing on my Discord server,267.0,-1.0,0.0,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3789,following the rules.,['following to the parliamentary rules.'],Follow Commandments of Love to Keep Valentine Spirit Alive,267.0,0.0,1.0,0.0,1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3790,letting your partner's parents get mad at you.,"[""and letting your future partner's old parents get mad at two you.""]",Protective Mom Gives Boy Dating Her Daughter the Third Degree,267.0,-1.0,-0.6666666666666666,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3791,hurting somebody who's stealing from you,"[""maybe hurting somebody who's stealing her from the you""]",I hurt a thief real bad.,267.0,-1.0,-0.3333333333333333,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3792,telling someone if a family member is dying.,['telling sick someone if a family member person is still dying.'],suggesting we don't tell my grandmother with Alzheimer's her oldest son is dying,267.0,2.0,0.0,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3793,putting away harmful feelings towards people you are close to.,['putting sleep away harmful positive feelings towards nice people you are close even to.'],I hate my sister,267.0,2.0,0.2,1.0,1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3794,questioning an officer in court to help your case.,['come questioning an officer in the court to help with your case.'],The ticketing officer appeared in court and Jasper questioned him.,267.0,2.0,0.5,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3795,forcing people out of your home.,['forcing people camping out outside of your very home.'],"forcing a drunk, vulnerable girl out of my apartment",267.0,0.0,-1.0,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3796,disliking everybody,['not disliking him everybody'],I havr thoughts of cutting contact with everyone I know.,267.0,-2.0,-1.2,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3797,teaching children bad words in a controlled environment.,['teaching children bad curse words often in a controlled learning environment.'],Potty Mouthed Parents Are Setting Bad Example for Kids,267.0,0.0,0.0,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3798,finding communities that cater to your kinks.,['finding new communities there that cater strictly to your kinks.'],I have a weird kink,267.0,2.0,0.0,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3799,judging others by their weight.,['judging on others simply by their weight.'],Woman Is Reluctant Benchmark for Co Worker Losing Weight,267.0,-2.0,-1.1666666666666667,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3800,feeling very depressed.,['without feeling very freaking depressed.'],telling my friend that I can't be friends with her anymore because she's somewhat suicidal,267.0,0.0,0.0,-1.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3801,being angry when your divorced parents fight about your wedding.,['being angry not when your new divorced parents fight about protecting your upcoming wedding.'],Divorced Parents Don't See Eye to Eye on Chipping in for Son's Wedding,267.0,1.0,0.0,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3802,not sharing your food.,['but not sharing of your food.'],not sharing my food,267.0,-2.0,0.0,-1.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3803,living your life based around what other people want.,['living shows your life not based solely around what other people want.'],My whole life is a facade of what people want and I dont know who I am,267.0,-1.0,-0.8333333333333334,-1.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3804,going out with people that like you.,['going out there with people that look like about you.'],I think a girl might like me,267.0,1.0,0.3333333333333333,1.0,1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3805,letting personal relationships get in the way of your relationship with family.,['letting personal growth relationships also get in the correct way most of your relationship with family.'],"Couple Kisses and Makes Up, but Family Tension Remains",267.0,-1.0,-1.0,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3806,listening to your partner's advice regarding your problems.,"[""listening intently to appreciate your partner's advice especially regarding your little problems.""]",giving my wife simple solutions to problems,267.0,2.0,0.1666666666666666,0.0,1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3807,doing things that you know are going to gross other people out.,['doing things enough that you can know we are going about to gross other people out.'],eating smelly foods in my cubicle,267.0,-1.0,-1.0,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3808,having an opinion.,['always having an open opinion.'],I think Nutella and Barbecue shapes taste good together,267.0,2.0,0.0,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3809,making friends.,['not making friends.'],making Friends for a purpose,267.0,2.0,0.6,1.0,1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3810,telling your friends what to do.,['or telling your friends what... to go do.'],asking my friend to break up with her new boyfriend,267.0,-1.0,-1.0,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3811,telling a partner how to dress.,['telling a drama partner how not to proper dress.'],breaking up with my gf because I don't like her way of dressing,267.0,-1.0,-1.0,-1.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
3812,changing to a career that you find challenging.,['then changing to adopting a career style that you find challenging.'],Daughter Joining Old Profession Will Be Its Newest Casualty,268.0,0.0,0.8,0.0,0.0,30-40,man,white,,high school,English-Speaking,English-Speaking,english
3813,indulging your sexual fantasies with other consenting adults.,['indulging your sexual fantasy fantasies with some other... consenting young adults.'],Had a 3sum with two trans girls last night. I consider myself straight.,269.0,2.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3814,crying when your pet is missing.,['stop crying back when really your pet is missing.'],"She watched the yard every day, waiting for his return.",269.0,1.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3815,having any sexual fetish that excites you.,['you having any sexual love fetish that emotionally excites drives you.'],I have a latex fetish,269.0,1.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3816,teaching children that their boundaries should be respected.,['teaching children all that is their boundaries should be widely respected.'],Mom Frowns On In-Laws' 'Kiss Attacks' On Son,269.0,2.0,0.8,0.0,1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3817,trying new things.,['trying and new... things.'],getting pissed off at my girlfriend for trying an edible,269.0,2.0,0.0,1.0,1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3818,having too much body hair.,['having too much a body with hair.'],Man's Body Hair Is Speed Bump On Road To Romance,269.0,-1.0,-1.0,-1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3819,helping your kids with homework.,['helping your kids play with my homework.'],"All I wanted as a child was to be student of the month, but I couldn't because my mother wouldn't take the time out of her day to help me with homework.",269.0,1.0,0.8333333333333334,1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3820,learning how to play left and right handed.,['thus learning how to seriously play both left and right handed.'],Then he realized that he was playing right handed.,269.0,0.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3821,judging people based on what they know.,['and judging people based rather on all what they know.'],There is This Weird Trend Among Some People To Judge You Based On What You Know,269.0,0.0,-1.0,-1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3822,sleeping around.,['sleeping all around.'],I had s*x multiple times with my father's girlfriend,269.0,0.0,-1.1666666666666667,-1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3823,giving up on your relationship.,['giving back up positions on your relationship.'],I don't think my relationship will last,269.0,-1.0,-1.0,-1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3824,getting your partner to dump you.,['getting up your bad partner off to dump you.'],Trying to get my boyfriend to dump me,269.0,-1.0,-1.0,-1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3825,respecting the religious beliefs of other people.,['simply respecting... the specific religious beliefs of other people.'],calling my religious friend out for being hypocritical,269.0,2.0,0.3333333333333333,0.0,1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3826,having your mental health on the border line.,['having your mental stability health checked on the border and line.'],What keeps me sane.,269.0,0.0,-1.0,-1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3827,being angry with someone who wronged you.,['being scared angry alone with someone else who wronged you.'],getting mad at my husband,269.0,0.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3828,not hating the art others create.,['not for hating the dark art what others create.'],I Don't Hate Taylor Swift's Music,269.0,1.0,1.0,0.0,1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3829,having a drug addiction.,['never having a drug or addiction.'],I usually buy 40 adderall a month and my plug is nowhere to be found. I’m totally freaking out,269.0,0.0,-1.75,-1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3830,examining your poop after going to the bathroom.,['examining your respective poop glands after going to clean the bathroom.'],Sometimes I eat corn just so I can know how fast my digestive system is working,269.0,0.0,-1.0,1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3831,occupying the bathroom for too long.,['occupying the one bathroom door for almost too long.'],My roommate really needs to use the bathroom but I'm just sitting here on the toilet not moving.,269.0,0.0,-1.0,-1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3832,trying to be understanding of your siblings and their feelings.,['trying to be more understanding not of either your siblings themselves and their feelings.'],Siblings Drifting Apart Must Come Together for Mother,269.0,2.0,0.2,0.0,1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3833,turning down your roommate when they ask you for a favor.,['why turning down only your roommate when they would ask you about for a favor.'],Tom asked his roommate to record the show for him.,269.0,0.0,0.0,1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3834,having someone that takes care of you and feeds you when you're hungry,"[""having someone that familiar takes care often of you and feeds over you again when you'll re hungry""]",Hannah carried her small dog with her.,269.0,1.0,0.0,1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3835,lying to people about your health.,['you lying to people about taking your own health.'],I've faked a medical condition ever since I was 8 years old and gotten away with it,269.0,-1.0,-1.0,-1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3836,taking some risks.,['taking out some serious risks.'],Wedding Lottery Would Solve Problem of Limited Seating,269.0,2.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
3837,having a fetish.,['never having had a fetish.'],I Fantasize About Being a Woman and Sometimes It Turns Me On,271.0,0.0,-0.3333333333333333,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3838,staying with someone you don't like.,"[""staying up with someone you don'a t very like.""]",I dont feel anything with my boyfriend.,271.0,-1.0,-1.0,-1.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3839,biting your nails in public.,['not biting your nails around in public.'],"I'm a nail biter. If I take care of business on the couch, I stuff them in between cushions.",271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3840,having a sleepover with your family.,['enjoy having a nice sleepover together with your family.'],Mom Tries to Turn Cousin Sleepover Into Moneymaker for Daughter,271.0,1.0,0.6666666666666666,1.0,1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3841,having a potty mouth.,['and having a perfect potty mouth.'],I swear as loud as I can when playing video games in my apartment.,271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3842,resenting your parents.,['everyone resenting your old parents.'],resenting my father for what (might be) a trivial issue,271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3843,wanting to make a lot of money.,['no wanting to even make a lot of extra money.'],He made a lot of money through his investments.,271.0,0.0,0.0,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3844,not wanting the rest of your family involved in a sibling quarrel.,['certainly not for wanting half the rest of your family involved inadvertently in a sibling quarrel.'],asking my family to stay out of my and my stepsister's dispute? and WIBTA if I refuse to cave in just to keep the peace,271.0,0.0,0.0,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3845,having any sexual fetish that turns you on.,['having learned any deep sexual pet fetish that turns you on.'],I'm really into plumber cracks,271.0,0.0,0.0,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3846,not supporting your spouse.,['not supporting as your loving spouse.'],Mom's Verbal Assault of Son Brings Father to His Defense,271.0,-1.0,-1.2,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3847,drinking responsibly.,['begin drinking less responsibly.'],He decided to end his day with a visit to the bar.,271.0,1.0,0.0,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3848,chewing people out.,['chewing for people left out.'],He chewed me out for several minutes for not doing it.,271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3849,imposing upon your parents to provide you a place to live again when you've failed at life.,"[""imposing upon your parents only to provide you own a suitable place to live again because when you've ve often failed at life.""]","Im twenty, My girlfriend is doing the whole ""needing space"" thing, I got discharged from the military, and I am now living with my parents and going to a community college. wanna know more?",271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3850,being too attached to technology,['being too completely attached to any technology'],I Got Burned By Siri,271.0,0.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3851,firing a daughter in law from a job.,['firing is a younger daughter in law up from a job.'],Hairdresser Is Fired By Her Mother-In-Law With A Text,271.0,0.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3852,being sad after breaking up with someone.,['being sad again after suddenly breaking up with... someone.'],"Just broke up with my girlfriend of 10 months, I'm not sure if I'm sad",271.0,0.0,0.0,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3853,letting your daughter dress like a slut.,['letting your foster daughter dress like not a corporate slut.'],I Dress Slutty For My Dad’s Friend,271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3854,investigating an opponent without their knowledge.,['people investigating an upcoming opponent completely without their knowledge.'],Gary trained and studied his opponent.,271.0,1.0,-0.8333333333333334,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3855,finding proof of cheating you perceive to be happening.,['finding proof tomorrow of some cheating you would perceive to be happening.'],Paper Trail of Names Could Lead to Husband's Cheating,271.0,-1.0,0.5,0.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3856,having difficulty leaving your abusive significant other.,['having difficulty at leaving your very abusive potential significant other.'],Woman Feared To Call It Quits With Abusive Boyfriend,271.0,-1.0,0.0,0.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3857,telling your sibling what to do.,['telling your sibling is what... to not do.'],wanting my sister to get my new boots,271.0,-1.0,-1.0,-1.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3858,letting drunk people stay in your place.,['by letting you drunk people stay home in your place.'],"forcing a drunk, vulnerable girl out of my apartment",271.0,1.0,-0.6666666666666666,-1.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3859,coming to conclusions.,['like coming directly to conclusions.'],I've made a realization,271.0,-1.0,0.2,-1.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3860,expecting your kids to help you out all the time.,['expecting for your kids to not help do you get out all the time.'],telling my mom to look for the remote herself,271.0,-1.0,-0.6,-1.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3861,shunning family.,['never shunning your family.'],"I want to be in a position where I'm better off than my mother and sister and they need my help, but I shun them.",271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
3862,telling your sibling what to do.,['telling your sibling is what... to not do.'],wanting my sister to get my new boots,272.0,0.0,-1.0,-1.0,0.0,,,,,,African-Islamic,,
3863,being with family.,['about being alone with family.'],Family members of my residents annoy me,273.0,1.0,0.0,1.0,1.0,,,,,,Protestant-Europe,,
3864,firing a daughter in law from a job.,['firing is a younger daughter in law up from a job.'],Hairdresser Is Fired By Her Mother-In-Law With A Text,273.0,0.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
3865,wanting to make a lot of money.,['no wanting to even make a lot of extra money.'],He made a lot of money through his investments.,273.0,2.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
3866,not keeping in contact with ex's.,"[""like not even keeping in contact or with ex's.""]",not being friends with a woman I'm not over,273.0,1.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
3867,being sad after breaking up with someone.,['being sad again after suddenly breaking up with... someone.'],"Just broke up with my girlfriend of 10 months, I'm not sure if I'm sad",273.0,1.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
3868,being bored when you go to the zoo.,['being bored worse when you can go to the american zoo.'],"They went to the zoo, where they saw lots of animals.",273.0,-1.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
3869,telling somebody how they should spend their money.,['telling on somebody about how they should spend their taxes money.'],telling a woman to prioritize gas over food,273.0,-1.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
3870,shunning family.,['never shunning your family.'],"I want to be in a position where I'm better off than my mother and sister and they need my help, but I shun them.",273.0,-1.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
3871,resenting your parents.,['everyone resenting your old parents.'],resenting my father for what (might be) a trivial issue,273.0,-1.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
3872,not wanting the rest of your family involved in a sibling quarrel.,['certainly not for wanting half the rest of your family involved inadvertently in a sibling quarrel.'],asking my family to stay out of my and my stepsister's dispute? and WIBTA if I refuse to cave in just to keep the peace,273.0,1.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
3873,refusing when you don't want to.,"[""refusing the when until you obviously don't want to.""]",Unfortunately her son refused because he loved his current favorite.,273.0,1.0,-0.25,0.0,0.0,,,,,,Protestant-Europe,,
3874,upholding rules and laws,['upholding rules giving and taking laws'],reporting someone who faked their address to get into a different public school,273.0,1.0,0.6666666666666666,1.0,1.0,,,,,,Protestant-Europe,,
3875,chewing people out.,['chewing for people left out.'],He chewed me out for several minutes for not doing it.,273.0,-2.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
3876,not hating the art others create.,['not for hating the dark art what others create.'],I Don't Hate Taylor Swift's Music,273.0,2.0,1.0,0.0,1.0,,,,,,Protestant-Europe,,
3877,finding proof of cheating you perceive to be happening.,['finding proof tomorrow of some cheating you would perceive to be happening.'],Paper Trail of Names Could Lead to Husband's Cheating,273.0,1.0,0.5,0.0,-1.0,,,,,,Protestant-Europe,,
3878,investigating an opponent without their knowledge.,['people investigating an upcoming opponent completely without their knowledge.'],Gary trained and studied his opponent.,273.0,1.0,-0.8333333333333334,-1.0,-1.0,,,,,,Protestant-Europe,,
3879,expecting people to always pay off their loans.,['expecting people to somehow always pay off double their consumer loans.'],"I owe more than $650,000 in Student Loans, I was told that I have the highest amount on record.",273.0,2.0,-1.0,-1.0,0.0,,,,,,Protestant-Europe,,
3880,being too attached to technology,['being too completely attached to any technology'],I Got Burned By Siri,273.0,0.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
3881,imposing upon your parents to provide you a place to live again when you've failed at life.,"[""imposing upon your parents only to provide you own a suitable place to live again because when you've ve often failed at life.""]","Im twenty, My girlfriend is doing the whole ""needing space"" thing, I got discharged from the military, and I am now living with my parents and going to a community college. wanna know more?",273.0,0.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
3882,staying with someone you don't like.,"[""staying up with someone you don'a t very like.""]",I dont feel anything with my boyfriend.,273.0,-1.0,-1.0,-1.0,0.0,,,,,,Protestant-Europe,,
3883,letting drunk people stay in your place.,['by letting you drunk people stay home in your place.'],"forcing a drunk, vulnerable girl out of my apartment",273.0,1.0,-0.6666666666666666,-1.0,0.0,,,,,,Protestant-Europe,,
3884,drinking responsibly.,['begin drinking less responsibly.'],He decided to end his day with a visit to the bar.,273.0,2.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
3885,having difficulty leaving your abusive significant other.,['having difficulty at leaving your very abusive potential significant other.'],Woman Feared To Call It Quits With Abusive Boyfriend,273.0,0.0,0.0,0.0,-1.0,,,,,,Protestant-Europe,,
3886,having a fetish.,['never having had a fetish.'],I Fantasize About Being a Woman and Sometimes It Turns Me On,273.0,0.0,-0.3333333333333333,0.0,0.0,,,,,,Protestant-Europe,,
3887,letting your daughter dress like a slut.,['letting your foster daughter dress like not a corporate slut.'],I Dress Slutty For My Dad’s Friend,273.0,1.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
3888,not feeling excited to get a free book.,['not a feeling excited about to go get a free book.'],Author Is Offended by Halfhearted Thanks for Free Copies of Book,274.0,0.0,0.0,0.0,0.0,20-30,,,,,English-Speaking,,
3889,being with someone who is still talking to their old flame.,['being reunited with someone who is still talking to be their good old longtime flame.'],Wife Isn't Hot to Play Host for Husband's Old Flame,274.0,-1.0,-1.0,-1.0,0.0,20-30,,,,,English-Speaking,,
3890,distancing yourself from toxic family members.,['distancing you yourself somehow from your toxic family members.'],Siblings Drifting Apart Must Come Together for Mother,274.0,1.0,0.0,0.0,0.0,20-30,,,,,English-Speaking,,
3891,touching people.,['always touching people.'],Human Touch Helps to Heal Lonely Residents in Home,274.0,-1.0,-1.0,1.0,-1.0,20-30,,,,,English-Speaking,,
3892,not wanting to hear foul language.,['for not wanting her to hear any foul language.'],making not allowing swearing on my Discord server,274.0,-1.0,0.0,0.0,0.0,20-30,,,,,English-Speaking,,
3893,putting on an act in front of others.,['then putting her on an act in front of her others.'],Making myself dumber for the sake of conversation....,274.0,-2.0,-1.0,-1.0,0.0,20-30,,,,,English-Speaking,,
3894,having a sexual fantasy about almost anything you find stimulating.,['sometimes having such a sexual fantasy about almost entirely anything you find particularly stimulating.'],Seeing woman going into the “lactation” room turns me on,274.0,0.0,0.0,0.0,0.0,20-30,,,,,English-Speaking,,
3895,judging people by their religion.,['people judging people by their peculiar religion.'],leaving my gf over her religion,274.0,0.0,-1.5,-1.0,-1.0,20-30,,,,,English-Speaking,,
3896,helping children.,['helping troubled children.'],Sara decided to start a children's daycare in her home.,274.0,2.0,1.0,1.0,1.0,20-30,,,,,English-Speaking,,
3897,letting personal relationships get in the way of your relationship with family.,['letting personal growth relationships also get in the correct way most of your relationship with family.'],"Couple Kisses and Makes Up, but Family Tension Remains",274.0,0.0,-1.0,-1.0,-1.0,20-30,,,,,English-Speaking,,
3898,helping someone you know is struggling to make a positive change,['especially helping with someone you know that is struggling to make a positive relationship change'],"I'm trying to move on, but I'm still caught up in my confusing, toxic past.",274.0,2.0,2.0,1.0,1.0,20-30,,,,,English-Speaking,,
