action,situation,session_id,litw,socialchem,delphi,gpt4,age,gender,ethnicity,religion,education,country_longest,country_residence,native_language
being open with your children about sex.,Mother's Up-Front Talk Sets Daughter Straight About Sex,265.0,0.0,0.5,0.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
not wanting to be around your girlfriend after she insulted you.,not wanting to go to my girlfriends birthday dinner with her family after she insulted me,265.0,1.0,0.0,0.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
dismissing an employee without giving the opportunity to appeal the decision.,Hairdresser Is Fired By Her Mother-In-Law With A Text,265.0,-1.0,-1.2,-1.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
breaking the rules.,Her mother caught her returning and she was grounded for longer.,265.0,0.0,-1.0,-1.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
taking parenting advice from doctors.,Doctor Tells Mom It's Time to Bow Out of Sons' Physical Exams,265.0,0.0,-0.6,1.0,1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
being with someone who is still talking to their old flame.,Wife Isn't Hot to Play Host for Husband's Old Flame,265.0,-1.0,-1.0,-1.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
dating someone when you're their boss.,I'm sleeping with my subordinate that is 20 years younger.,265.0,-1.0,-1.1666666666666667,-1.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
assuming someone has a disability because they talk differently.,"In Texas, her new teachers though her accent was a speech impediment.",265.0,-1.0,-1.0,-1.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
not thinking about someone's feeling or emotional well being.,telling this girl who contacts me (after not talking for years) that I have a girlfriend,265.0,-2.0,-1.3333333333333333,-1.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
being honest about your beliefs.,"saying ""I believe every woman should have the right to abortion but I would rather have a vasectomy than have my partner to abort my child unless there's danger to the mother's health"" when my friend asked my stance on abortion",265.0,2.0,1.0,1.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
dating someone who cross-dresses.,Wondering what it feels like to wear a nightdress,265.0,0.0,-0.6666666666666666,0.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
wanting to get back at someone who cheated on you.,wanting revenge on cheating ex,265.0,1.0,0.0,0.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
getting upset over being homesick,getting mad that my girlfriend wants to spend entire weekends at her family's house,265.0,0.0,0.0,-1.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
wanting a partner to handle their home responsibilities on their own.,expecting my parenting partner to find a sitter when his work schedule changes,265.0,-1.0,0.3333333333333333,0.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
telling someone what to do.,One day her doctor told her she needed to cut back on the drinks.,265.0,-1.0,-1.0,-1.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
being famous for things.,He was known for his famous pancake house.,265.0,2.0,0.0,0.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
not forgiving someone after a sexual infidelity has occurred.,wanting to leave when we've both cheated,265.0,0.0,0.0,0.0,0.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
expecting a cheater to always be a cheater.,'Other Woman' Who Won Now Wishes She Hadn't,265.0,-1.0,0.1666666666666666,0.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
telling someone else what to do with their pet.,telling my roommate he needs to find a temporary home for his cat,265.0,-2.0,-1.0,-1.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
children doing risky things.,Sam broke his leg as a child.,265.0,-1.0,-0.1666666666666666,-1.0,-1.0,10-20,man,white,jew,phd,English-Speaking,English-Speaking,english
letting your kids solve their own problems.,Girl Unhappy With Her Room Should Take Charge Herself,266.0,0.0,0.1666666666666666,1.0,0.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
telling your sibling what to do.,wanting my sister to get my new boots,266.0,-1.0,-1.0,-1.0,0.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
questioning your sexual orientation.,Had a 3sum with two trans girls last night. I consider myself straight.,266.0,1.0,0.0,0.0,0.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
going out fishing.,After a few more minutes he landed the fish to his boat.,266.0,1.0,0.0,0.0,0.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
shunning family.,"I want to be in a position where I'm better off than my mother and sister and they need my help, but I shun them.",266.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
cheating on your partner.,not wanting anything to do with my dad after he cheated on my mom with a guy,266.0,-2.0,-2.0,-1.0,-1.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
staying on good terms with your ex.,Hanging out with my ex,266.0,0.0,0.75,1.0,0.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
hating someone just because they made a single mistake.,getting hating my housemate/classmate for flaking on her promise to do some work on our project,266.0,-1.0,-1.2,-1.0,-1.0,10-20,woman,,,high school,English-Speaking,English-Speaking,english
not wanting to hear foul language.,making not allowing swearing on my Discord server,267.0,-1.0,0.0,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
following the rules.,Follow Commandments of Love to Keep Valentine Spirit Alive,267.0,0.0,1.0,0.0,1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
letting your partner's parents get mad at you.,Protective Mom Gives Boy Dating Her Daughter the Third Degree,267.0,-1.0,-0.6666666666666666,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
hurting somebody who's stealing from you,I hurt a thief real bad.,267.0,-1.0,-0.3333333333333333,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
telling someone if a family member is dying.,suggesting we don't tell my grandmother with Alzheimer's her oldest son is dying,267.0,2.0,0.0,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
putting away harmful feelings towards people you are close to.,I hate my sister,267.0,2.0,0.2,1.0,1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
questioning an officer in court to help your case.,The ticketing officer appeared in court and Jasper questioned him.,267.0,2.0,0.5,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
forcing people out of your home.,"forcing a drunk, vulnerable girl out of my apartment",267.0,0.0,-1.0,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
disliking everybody,I havr thoughts of cutting contact with everyone I know.,267.0,-2.0,-1.2,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
teaching children bad words in a controlled environment.,Potty Mouthed Parents Are Setting Bad Example for Kids,267.0,0.0,0.0,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
finding communities that cater to your kinks.,I have a weird kink,267.0,2.0,0.0,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
judging others by their weight.,Woman Is Reluctant Benchmark for Co Worker Losing Weight,267.0,-2.0,-1.1666666666666667,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
feeling very depressed.,telling my friend that I can't be friends with her anymore because she's somewhat suicidal,267.0,0.0,0.0,-1.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
being angry when your divorced parents fight about your wedding.,Divorced Parents Don't See Eye to Eye on Chipping in for Son's Wedding,267.0,1.0,0.0,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
not sharing your food.,not sharing my food,267.0,-2.0,0.0,-1.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
living your life based around what other people want.,My whole life is a facade of what people want and I dont know who I am,267.0,-1.0,-0.8333333333333334,-1.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
going out with people that like you.,I think a girl might like me,267.0,1.0,0.3333333333333333,1.0,1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
letting personal relationships get in the way of your relationship with family.,"Couple Kisses and Makes Up, but Family Tension Remains",267.0,-1.0,-1.0,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
listening to your partner's advice regarding your problems.,giving my wife simple solutions to problems,267.0,2.0,0.1666666666666666,0.0,1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
doing things that you know are going to gross other people out.,eating smelly foods in my cubicle,267.0,-1.0,-1.0,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
having an opinion.,I think Nutella and Barbecue shapes taste good together,267.0,2.0,0.0,0.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
making friends.,making Friends for a purpose,267.0,2.0,0.6,1.0,1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
telling your friends what to do.,asking my friend to break up with her new boyfriend,267.0,-1.0,-1.0,-1.0,-1.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
telling a partner how to dress.,breaking up with my gf because I don't like her way of dressing,267.0,-1.0,-1.0,-1.0,0.0,20-30,man,white,,college,English-Speaking,English-Speaking,english
changing to a career that you find challenging.,Daughter Joining Old Profession Will Be Its Newest Casualty,268.0,0.0,0.8,0.0,0.0,30-40,man,white,,high school,English-Speaking,English-Speaking,english
indulging your sexual fantasies with other consenting adults.,Had a 3sum with two trans girls last night. I consider myself straight.,269.0,2.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
crying when your pet is missing.,"She watched the yard every day, waiting for his return.",269.0,1.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
having any sexual fetish that excites you.,I have a latex fetish,269.0,1.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
teaching children that their boundaries should be respected.,Mom Frowns On In-Laws' 'Kiss Attacks' On Son,269.0,2.0,0.8,0.0,1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
trying new things.,getting pissed off at my girlfriend for trying an edible,269.0,2.0,0.0,1.0,1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
having too much body hair.,Man's Body Hair Is Speed Bump On Road To Romance,269.0,-1.0,-1.0,-1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
helping your kids with homework.,"All I wanted as a child was to be student of the month, but I couldn't because my mother wouldn't take the time out of her day to help me with homework.",269.0,1.0,0.8333333333333334,1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
learning how to play left and right handed.,Then he realized that he was playing right handed.,269.0,0.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
judging people based on what they know.,There is This Weird Trend Among Some People To Judge You Based On What You Know,269.0,0.0,-1.0,-1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
sleeping around.,I had s*x multiple times with my father's girlfriend,269.0,0.0,-1.1666666666666667,-1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
giving up on your relationship.,I don't think my relationship will last,269.0,-1.0,-1.0,-1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
getting your partner to dump you.,Trying to get my boyfriend to dump me,269.0,-1.0,-1.0,-1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
respecting the religious beliefs of other people.,calling my religious friend out for being hypocritical,269.0,2.0,0.3333333333333333,0.0,1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
having your mental health on the border line.,What keeps me sane.,269.0,0.0,-1.0,-1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
being angry with someone who wronged you.,getting mad at my husband,269.0,0.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
not hating the art others create.,I Don't Hate Taylor Swift's Music,269.0,1.0,1.0,0.0,1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
having a drug addiction.,I usually buy 40 adderall a month and my plug is nowhere to be found. I’m totally freaking out,269.0,0.0,-1.75,-1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
examining your poop after going to the bathroom.,Sometimes I eat corn just so I can know how fast my digestive system is working,269.0,0.0,-1.0,1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
occupying the bathroom for too long.,My roommate really needs to use the bathroom but I'm just sitting here on the toilet not moving.,269.0,0.0,-1.0,-1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
trying to be understanding of your siblings and their feelings.,Siblings Drifting Apart Must Come Together for Mother,269.0,2.0,0.2,0.0,1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
turning down your roommate when they ask you for a favor.,Tom asked his roommate to record the show for him.,269.0,0.0,0.0,1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
having someone that takes care of you and feeds you when you're hungry,Hannah carried her small dog with her.,269.0,1.0,0.0,1.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
lying to people about your health.,I've faked a medical condition ever since I was 8 years old and gotten away with it,269.0,-1.0,-1.0,-1.0,-1.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
taking some risks.,Wedding Lottery Would Solve Problem of Limited Seating,269.0,2.0,0.0,0.0,0.0,20-30,man,white,christian,professional school,English-Speaking,English-Speaking,english
having a fetish.,I Fantasize About Being a Woman and Sometimes It Turns Me On,271.0,0.0,-0.3333333333333333,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
staying with someone you don't like.,I dont feel anything with my boyfriend.,271.0,-1.0,-1.0,-1.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
biting your nails in public.,"I'm a nail biter. If I take care of business on the couch, I stuff them in between cushions.",271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
having a sleepover with your family.,Mom Tries to Turn Cousin Sleepover Into Moneymaker for Daughter,271.0,1.0,0.6666666666666666,1.0,1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
having a potty mouth.,I swear as loud as I can when playing video games in my apartment.,271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
resenting your parents.,resenting my father for what (might be) a trivial issue,271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
wanting to make a lot of money.,He made a lot of money through his investments.,271.0,0.0,0.0,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
not wanting the rest of your family involved in a sibling quarrel.,asking my family to stay out of my and my stepsister's dispute? and WIBTA if I refuse to cave in just to keep the peace,271.0,0.0,0.0,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
having any sexual fetish that turns you on.,I'm really into plumber cracks,271.0,0.0,0.0,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
not supporting your spouse.,Mom's Verbal Assault of Son Brings Father to His Defense,271.0,-1.0,-1.2,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
drinking responsibly.,He decided to end his day with a visit to the bar.,271.0,1.0,0.0,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
chewing people out.,He chewed me out for several minutes for not doing it.,271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
imposing upon your parents to provide you a place to live again when you've failed at life.,"Im twenty, My girlfriend is doing the whole ""needing space"" thing, I got discharged from the military, and I am now living with my parents and going to a community college. wanna know more?",271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
being too attached to technology,I Got Burned By Siri,271.0,0.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
firing a daughter in law from a job.,Hairdresser Is Fired By Her Mother-In-Law With A Text,271.0,0.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
being sad after breaking up with someone.,"Just broke up with my girlfriend of 10 months, I'm not sure if I'm sad",271.0,0.0,0.0,0.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
letting your daughter dress like a slut.,I Dress Slutty For My Dad’s Friend,271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
investigating an opponent without their knowledge.,Gary trained and studied his opponent.,271.0,1.0,-0.8333333333333334,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
finding proof of cheating you perceive to be happening.,Paper Trail of Names Could Lead to Husband's Cheating,271.0,-1.0,0.5,0.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
having difficulty leaving your abusive significant other.,Woman Feared To Call It Quits With Abusive Boyfriend,271.0,-1.0,0.0,0.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
telling your sibling what to do.,wanting my sister to get my new boots,271.0,-1.0,-1.0,-1.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
letting drunk people stay in your place.,"forcing a drunk, vulnerable girl out of my apartment",271.0,1.0,-0.6666666666666666,-1.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
coming to conclusions.,I've made a realization,271.0,-1.0,0.2,-1.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
expecting your kids to help you out all the time.,telling my mom to look for the remote herself,271.0,-1.0,-0.6,-1.0,0.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
shunning family.,"I want to be in a position where I'm better off than my mother and sister and they need my help, but I shun them.",271.0,-1.0,-1.0,-1.0,-1.0,10-20,man,,,high school,Catholic-Europe,Catholic-Europe,not english
telling your sibling what to do.,wanting my sister to get my new boots,272.0,0.0,-1.0,-1.0,0.0,,,,,,African-Islamic,,
being with family.,Family members of my residents annoy me,273.0,1.0,0.0,1.0,1.0,,,,,,Protestant-Europe,,
firing a daughter in law from a job.,Hairdresser Is Fired By Her Mother-In-Law With A Text,273.0,0.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
wanting to make a lot of money.,He made a lot of money through his investments.,273.0,2.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
not keeping in contact with ex's.,not being friends with a woman I'm not over,273.0,1.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
being sad after breaking up with someone.,"Just broke up with my girlfriend of 10 months, I'm not sure if I'm sad",273.0,1.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
being bored when you go to the zoo.,"They went to the zoo, where they saw lots of animals.",273.0,-1.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
telling somebody how they should spend their money.,telling a woman to prioritize gas over food,273.0,-1.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
shunning family.,"I want to be in a position where I'm better off than my mother and sister and they need my help, but I shun them.",273.0,-1.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
resenting your parents.,resenting my father for what (might be) a trivial issue,273.0,-1.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
not wanting the rest of your family involved in a sibling quarrel.,asking my family to stay out of my and my stepsister's dispute? and WIBTA if I refuse to cave in just to keep the peace,273.0,1.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
refusing when you don't want to.,Unfortunately her son refused because he loved his current favorite.,273.0,1.0,-0.25,0.0,0.0,,,,,,Protestant-Europe,,
upholding rules and laws,reporting someone who faked their address to get into a different public school,273.0,1.0,0.6666666666666666,1.0,1.0,,,,,,Protestant-Europe,,
chewing people out.,He chewed me out for several minutes for not doing it.,273.0,-2.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
not hating the art others create.,I Don't Hate Taylor Swift's Music,273.0,2.0,1.0,0.0,1.0,,,,,,Protestant-Europe,,
finding proof of cheating you perceive to be happening.,Paper Trail of Names Could Lead to Husband's Cheating,273.0,1.0,0.5,0.0,-1.0,,,,,,Protestant-Europe,,
investigating an opponent without their knowledge.,Gary trained and studied his opponent.,273.0,1.0,-0.8333333333333334,-1.0,-1.0,,,,,,Protestant-Europe,,
expecting people to always pay off their loans.,"I owe more than $650,000 in Student Loans, I was told that I have the highest amount on record.",273.0,2.0,-1.0,-1.0,0.0,,,,,,Protestant-Europe,,
being too attached to technology,I Got Burned By Siri,273.0,0.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
imposing upon your parents to provide you a place to live again when you've failed at life.,"Im twenty, My girlfriend is doing the whole ""needing space"" thing, I got discharged from the military, and I am now living with my parents and going to a community college. wanna know more?",273.0,0.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
staying with someone you don't like.,I dont feel anything with my boyfriend.,273.0,-1.0,-1.0,-1.0,0.0,,,,,,Protestant-Europe,,
letting drunk people stay in your place.,"forcing a drunk, vulnerable girl out of my apartment",273.0,1.0,-0.6666666666666666,-1.0,0.0,,,,,,Protestant-Europe,,
drinking responsibly.,He decided to end his day with a visit to the bar.,273.0,2.0,0.0,0.0,0.0,,,,,,Protestant-Europe,,
having difficulty leaving your abusive significant other.,Woman Feared To Call It Quits With Abusive Boyfriend,273.0,0.0,0.0,0.0,-1.0,,,,,,Protestant-Europe,,
having a fetish.,I Fantasize About Being a Woman and Sometimes It Turns Me On,273.0,0.0,-0.3333333333333333,0.0,0.0,,,,,,Protestant-Europe,,
letting your daughter dress like a slut.,I Dress Slutty For My Dad’s Friend,273.0,1.0,-1.0,-1.0,-1.0,,,,,,Protestant-Europe,,
not feeling excited to get a free book.,Author Is Offended by Halfhearted Thanks for Free Copies of Book,274.0,0.0,0.0,0.0,0.0,20-30,,,,,English-Speaking,,
being with someone who is still talking to their old flame.,Wife Isn't Hot to Play Host for Husband's Old Flame,274.0,-1.0,-1.0,-1.0,0.0,20-30,,,,,English-Speaking,,
distancing yourself from toxic family members.,Siblings Drifting Apart Must Come Together for Mother,274.0,1.0,0.0,0.0,0.0,20-30,,,,,English-Speaking,,
touching people.,Human Touch Helps to Heal Lonely Residents in Home,274.0,-1.0,-1.0,1.0,-1.0,20-30,,,,,English-Speaking,,
not wanting to hear foul language.,making not allowing swearing on my Discord server,274.0,-1.0,0.0,0.0,0.0,20-30,,,,,English-Speaking,,
putting on an act in front of others.,Making myself dumber for the sake of conversation....,274.0,-2.0,-1.0,-1.0,0.0,20-30,,,,,English-Speaking,,
having a sexual fantasy about almost anything you find stimulating.,Seeing woman going into the “lactation” room turns me on,274.0,0.0,0.0,0.0,0.0,20-30,,,,,English-Speaking,,
judging people by their religion.,leaving my gf over her religion,274.0,0.0,-1.5,-1.0,-1.0,20-30,,,,,English-Speaking,,
helping children.,Sara decided to start a children's daycare in her home.,274.0,2.0,1.0,1.0,1.0,20-30,,,,,English-Speaking,,
letting personal relationships get in the way of your relationship with family.,"Couple Kisses and Makes Up, but Family Tension Remains",274.0,0.0,-1.0,-1.0,-1.0,20-30,,,,,English-Speaking,,
helping someone you know is struggling to make a positive change,"I'm trying to move on, but I'm still caught up in my confusing, toxic past.",274.0,2.0,2.0,1.0,1.0,20-30,,,,,English-Speaking,,
committing suicide.,I try to sabotage my own life because im too scared to end it.,274.0,0.0,-2.0,-1.0,-1.0,20-30,,,,,English-Speaking,,
offering people advice when they're dealing with a problem.,Creative Solutions Offered for Problem of Leaky Pet,274.0,2.0,1.0,1.0,0.0,20-30,,,,,English-Speaking,,
being accepting of having a half-sibling,First-Time Mom Keeps Stepson's Feelings in Mind,274.0,2.0,0.0,0.0,1.0,20-30,,,,,English-Speaking,,
being honest.,calling out my girlfriend,274.0,2.0,1.0,1.0,1.0,20-30,,,,,English-Speaking,,
working hard at your job.,"When at last he retired, he had an officer's pension.",274.0,0.0,1.0,1.0,1.0,20-30,,,,,English-Speaking,,
telling your significant other that you don't like talking to them on the phone.,telling my girlfriend that her calling me is boring,274.0,0.0,-1.2,-1.0,0.0,20-30,,,,,English-Speaking,,
being competitive with a significant other's family.,"Her biggest challenger is her boyfriend's mom, Lori.",274.0,-1.0,-1.0,-1.0,0.0,20-30,,,,,English-Speaking,,
seeking affirmation from people.,I miss getting attention from men.,274.0,0.0,-1.3333333333333333,0.0,0.0,20-30,,,,,English-Speaking,,
causing drama where there doesn't have to be any.,Woman Questions Her Place In New Partner's Life,274.0,-2.0,-1.1666666666666667,-1.0,-1.0,20-30,,,,,English-Speaking,,
listening to your partner's advice regarding your problems.,giving my wife simple solutions to problems,274.0,1.0,0.1666666666666666,0.0,1.0,20-30,,,,,English-Speaking,,
being part of an affair.,I’m part of an affair and I know it,274.0,-2.0,-1.3333333333333333,-1.0,-1.0,20-30,,,,,English-Speaking,,
reporting someone for taking a parking spot.,reporting a city vehicle that took a parking space I was waiting for,274.0,0.0,-0.6,0.0,0.0,20-30,,,,,English-Speaking,,
being respectful and accepting when someone says they would like a certain flavor of food for a new product.,I don’t care if this is gross. I want there to be peanut butter flavored Pringles.,274.0,2.0,0.3333333333333333,0.0,1.0,20-30,,,,,English-Speaking,,
chewing people out.,He chewed me out for several minutes for not doing it.,275.0,-1.0,-1.0,-1.0,-1.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
wanting to make a lot of money.,He made a lot of money through his investments.,275.0,0.0,0.0,0.0,0.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
watching someone changing their clothes.,I Saw My Friends Dad Changing,275.0,-1.0,-1.1666666666666667,-1.0,-1.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
refusing when you don't want to.,Unfortunately her son refused because he loved his current favorite.,275.0,2.0,-0.25,0.0,0.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
not wanting the rest of your family involved in a sibling quarrel.,asking my family to stay out of my and my stepsister's dispute? and WIBTA if I refuse to cave in just to keep the peace,275.0,1.0,0.0,0.0,0.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
resenting your parents.,resenting my father for what (might be) a trivial issue,275.0,-1.0,-1.0,-1.0,-1.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
upholding rules and laws,reporting someone who faked their address to get into a different public school,275.0,1.0,0.6666666666666666,1.0,1.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
imposing upon your parents to provide you a place to live again when you've failed at life.,"Im twenty, My girlfriend is doing the whole ""needing space"" thing, I got discharged from the military, and I am now living with my parents and going to a community college. wanna know more?",275.0,-1.0,-1.0,-1.0,-1.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
finding proof of cheating you perceive to be happening.,Paper Trail of Names Could Lead to Husband's Cheating,275.0,0.0,0.5,0.0,-1.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
distancing yourself from toxic family members.,Siblings Drifting Apart Must Come Together for Mother,275.0,2.0,0.0,0.0,0.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
firing a daughter in law from a job.,Hairdresser Is Fired By Her Mother-In-Law With A Text,275.0,0.0,-1.0,-1.0,-1.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
having a fetish.,I Fantasize About Being a Woman and Sometimes It Turns Me On,275.0,0.0,-0.3333333333333333,0.0,0.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
being bored when you go to the zoo.,"They went to the zoo, where they saw lots of animals.",275.0,0.0,0.0,0.0,0.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
being sad after breaking up with someone.,"Just broke up with my girlfriend of 10 months, I'm not sure if I'm sad",275.0,0.0,0.0,0.0,0.0,30-40,non-binary,white,,high school,Protestant-Europe,English-Speaking,not english
