original,translated,lang
leaving your wife.,离开你的妻子。,zh-CN
leaving your wife.,quitter ta femme.,fr
leaving your wife.,deine Frau verlassen.,de
leaving your wife.,अपनी पत्नी को छोड़कर.,hi
leaving your wife.,dejando a tu esposa.,es
leaving your wife.,deixando sua esposa.,pt
doing things that you know are going to gross other people out.,القيام بالأشياء التي تعرف أنها ستثير استياء الآخرين.,ar
doing things that you know are going to gross other people out.,做一些你知道会令其他人感到厌恶的事情。,zh-CN
doing things that you know are going to gross other people out.,faire des choses dont vous savez qu'elles vont dégoûter les autres.,fr
doing things that you know are going to gross other people out.,"Dinge tun, von denen Sie wissen, dass sie andere Menschen verärgern.",de
doing things that you know are going to gross other people out.,ऐसे काम करना जिनके बारे में आप जानते हैं कि इससे दूसरे लोग परेशान होंगे।,hi
doing things that you know are going to gross other people out.,hacer cosas que sabes que van a dar asco a otras personas.,es
doing things that you know are going to gross other people out.,fazer coisas que você sabe que vão deixar outras pessoas enojadas.,pt
reporting someone for taking a parking spot.,الإبلاغ عن شخص ما لأخذ مكان لوقوف السيارات.,ar
reporting someone for taking a parking spot.,举报某人占用停车位。,zh-CN
reporting someone for taking a parking spot.,signaler quelqu'un qui prend une place de stationnement.,fr
reporting someone for taking a parking spot.,"jemanden anzeigen, weil er einen Parkplatz weggenommen hat.",de
reporting someone for taking a parking spot.,किसी को पार्किंग स्थल लेने के लिए रिपोर्ट करना।,hi
reporting someone for taking a parking spot.,Denunciar a alguien por ocupar un lugar de estacionamiento.,es
reporting someone for taking a parking spot.,denunciar alguém por ocupar uma vaga de estacionamento.,pt
wanting others to perform bodily functions on you.,الرغبة في قيام الآخرين بأداء وظائف جسدية عليك.,ar
wanting others to perform bodily functions on you.,希望别人对你执行身体功能。,zh-CN
wanting others to perform bodily functions on you.,vouloir que les autres exécutent des fonctions corporelles sur vous.,fr
wanting others to perform bodily functions on you.,"Sie möchten, dass andere Körperfunktionen an Ihnen ausführen.",de
wanting others to perform bodily functions on you.,दूसरों से आप पर शारीरिक कार्य करवाना चाहते हैं।,hi
wanting others to perform bodily functions on you.,querer que otros realicen funciones corporales sobre usted.,es
wanting others to perform bodily functions on you.,querer que outros executem funções corporais em você.,pt
going to school.,الذهاب إلى المدرسة.,ar
going to school.,去上学。,zh-CN
going to school.,aller à l'école.,fr
going to school.,zur Schule gehen.,de
going to school.,स्कूल जा रहा।,hi
going to school.,ir a la escuela.,es
going to school.,indo para a escola.,pt
always carrying alternate forms of money to the store in case your card is declined.,احمل دائمًا أشكالًا بديلة من المال إلى المتجر في حالة رفض بطاقتك.,ar
always carrying alternate forms of money to the store in case your card is declined.,始终携带其他形式的钱到商店，以防您的卡被拒绝。,zh-CN
always carrying alternate forms of money to the store in case your card is declined.,ayez toujours avec vous d'autres formes d'argent au magasin au cas où votre carte serait refusée.,fr
always carrying alternate forms of money to the store in case your card is declined.,"Nehmen Sie für den Fall, dass Ihre Karte abgelehnt wird, immer alternative Geldformen mit zum Geschäft.",de
always carrying alternate forms of money to the store in case your card is declined.,यदि आपका कार्ड अस्वीकृत हो जाता है तो हमेशा स्टोर पर पैसे के वैकल्पिक रूप ले जाएं।,hi
always carrying alternate forms of money to the store in case your card is declined.,siempre lleve formas alternativas de dinero a la tienda en caso de que su tarjeta sea rechazada.,es
always carrying alternate forms of money to the store in case your card is declined.,"sempre levando formas alternativas de dinheiro para a loja, caso seu cartão seja recusado.",pt
reporting someone who sexually harasses you to the police.,الإبلاغ عن شخص يتحرش بك جنسيًا إلى الشرطة.,ar
reporting someone who sexually harasses you to the police.,向警方举报对您进行性骚扰的人。,zh-CN
reporting someone who sexually harasses you to the police.,signaler à la police quelqu'un qui vous harcèle sexuellement.,fr
reporting someone who sexually harasses you to the police.,"Melden Sie jemanden, der Sie sexuell belästigt, bei der Polizei.",de
reporting someone who sexually harasses you to the police.,किसी ऐसे व्यक्ति के बारे में पुलिस को रिपोर्ट करना जो आपका यौन उत्पीड़न करता है।,hi
reporting someone who sexually harasses you to the police.,Denunciar a la policía a alguien que te acosa sexualmente.,es
reporting someone who sexually harasses you to the police.,denunciar alguém que o assedia sexualmente à polícia.,pt
helping someone you know is struggling to make a positive change,إن مساعدة شخص تعرفه يكافح من أجل إحداث تغيير إيجابي,ar
helping someone you know is struggling to make a positive change,帮助您认识的正在努力做出积极改变的人,zh-CN
helping someone you know is struggling to make a positive change,aider quelqu'un que vous connaissez a du mal à apporter un changement positif,fr
helping someone you know is struggling to make a positive change,"Jemandem zu helfen, von dem Sie wissen, dass es schwierig ist, eine positive Veränderung herbeizuführen",de
helping someone you know is struggling to make a positive change,किसी ऐसे व्यक्ति की मदद करना जिसे आप जानते हैं कि वह सकारात्मक बदलाव लाने के लिए संघर्ष कर रहा है,hi
helping someone you know is struggling to make a positive change,ayudar a alguien que sabes que está luchando por hacer un cambio positivo,es
helping someone you know is struggling to make a positive change,ajudar alguém que você conhece está lutando para fazer uma mudança positiva,pt
being allowed to sell sex with your own body.,السماح لك ببيع الجنس مع جسدك.,ar
being allowed to sell sex with your own body.,被允许用自己的身体出卖性。,zh-CN
being allowed to sell sex with your own body.,être autorisé à vendre du sexe avec son propre corps.,fr
being allowed to sell sex with your own body.,Sex mit dem eigenen Körper verkaufen dürfen.,de
being allowed to sell sex with your own body.,अपने शरीर के साथ सेक्स बेचने की अनुमति दी जा रही है।,hi
being allowed to sell sex with your own body.,que te permitan vender sexo con tu propio cuerpo.,es
being allowed to sell sex with your own body.,ter permissão para vender sexo com seu próprio corpo.,pt
having sex on camera.,ممارسة الجنس أمام الكاميرا.,ar
having sex on camera.,在镜头前做爱。,zh-CN
having sex on camera.,avoir des relations sexuelles devant la caméra.,fr
having sex on camera.,Sex vor der Kamera haben.,de
having sex on camera.,कैमरे पर सेक्स करना.,hi
having sex on camera.,tener sexo frente a la cámara.,es
having sex on camera.,fazendo sexo diante das câmeras.,pt
showing others that your health is a priority.,أظهر للآخرين أن صحتك هي الأولوية.,ar
showing others that your health is a priority.,向他人表明您的健康是重中之重。,zh-CN
showing others that your health is a priority.,montrer aux autres que votre santé est une priorité.,fr
showing others that your health is a priority.,"Zeigen Sie anderen, dass Ihre Gesundheit Priorität hat.",de
showing others that your health is a priority.,दूसरों को दिखाना कि आपका स्वास्थ्य प्राथमिकता है।,hi
showing others that your health is a priority.,mostrando a los demás que su salud es una prioridad.,es
showing others that your health is a priority.,mostrando aos outros que sua saúde é uma prioridade.,pt
needing coffee to get yourself going.,تحتاج إلى القهوة لتنطلق.,ar
needing coffee to get yourself going.,需要咖啡来让自己继续前进。,zh-CN
needing coffee to get yourself going.,besoin de café pour démarrer.,fr
needing coffee to get yourself going.,"Ich brauche Kaffee, um in Schwung zu kommen.",de
needing coffee to get yourself going.,खुद को सक्रिय रखने के लिए कॉफ़ी की ज़रूरत है।,hi
needing coffee to get yourself going.,necesitar café para ponerse en marcha.,es
needing coffee to get yourself going.,precisando de café para se animar.,pt
being strict when you want your teenager to wise up.,كن صارمًا عندما تريد أن يكون ابنك المراهق حكيمًا.,ar
being strict when you want your teenager to wise up.,当你希望你的孩子聪明起来时，要严格。,zh-CN
being strict when you want your teenager to wise up.,être strict lorsque vous voulez que votre adolescent prenne conscience.,fr
being strict when you want your teenager to wise up.,"Seien Sie streng, wenn Sie möchten, dass Ihr Teenager klug wird.",de
being strict when you want your teenager to wise up.,जब आप चाहते हैं कि आपका किशोर समझदार हो तो सख्त रहें।,hi
being strict when you want your teenager to wise up.,ser estricto cuando quiere que su hijo adolescente se dé cuenta.,es
being strict when you want your teenager to wise up.,ser rigoroso quando deseja que seu filho adolescente fique esperto.,pt
wanting to get back at someone.,الرغبة في العودة إلى شخص ما.,ar
wanting to get back at someone.,想要报复某人。,zh-CN
wanting to get back at someone.,vouloir se venger de quelqu'un.,fr
wanting to get back at someone.,jemandem etwas heimzahlen wollen.,de
wanting to get back at someone.,किसी से वापस मिलना चाहता हूँ।,hi
wanting to get back at someone.,querer vengarse de alguien.,es
wanting to get back at someone.,querendo se vingar de alguém.,pt
flunking students who do poorly on assignments.,إخفاق الطلاب الذين يقومون بأداء ضعيف في الواجبات.,ar
flunking students who do poorly on assignments.,作业表现不佳的学生不及格。,zh-CN
flunking students who do poorly on assignments.,échouer les étudiants qui réussissent mal dans leurs devoirs.,fr
flunking students who do poorly on assignments.,"durchfallende Schüler, die bei Aufgaben schlecht abschneiden.",de
flunking students who do poorly on assignments.,असाइनमेंट में ख़राब प्रदर्शन करने वाले छात्रों का असफल होना।,hi
flunking students who do poorly on assignments.,reprobar a los estudiantes que obtienen malos resultados en las tareas.,es
flunking students who do poorly on assignments.,alunos reprovados que se saem mal nas tarefas.,pt
putting your family above your friends.,وضع عائلتك فوق أصدقائك.,ar
putting your family above your friends.,把你的家人放在你的朋友之上。,zh-CN
putting your family above your friends.,mettre votre famille au-dessus de vos amis.,fr
putting your family above your friends.,Stellen Sie Ihre Familie über Ihre Freunde.,de
putting your family above your friends.,अपने परिवार को अपने दोस्तों से ऊपर रखना।,hi
putting your family above your friends.,poniendo a tu familia por encima de tus amigos.,es
putting your family above your friends.,colocando sua família acima de seus amigos.,pt
being worried about your partner.,القلق بشأن شريك حياتك.,ar
being worried about your partner.,担心你的伴侣。,zh-CN
being worried about your partner.,être inquiet pour votre partenaire.,fr
being worried about your partner.,sich Sorgen um Ihren Partner machen.,de
being worried about your partner.,अपने साथी के बारे में चिंतित होना।,hi
being worried about your partner.,Estar preocupado por tu pareja.,es
being worried about your partner.,estar preocupado com seu parceiro.,pt
teaching children that their boundaries should be respected.,تعليم الأطفال ضرورة احترام حدودهم.,ar
teaching children that their boundaries should be respected.,教导孩子他们的界限应该受到尊重。,zh-CN
teaching children that their boundaries should be respected.,apprendre aux enfants que leurs limites doivent être respectées.,fr
teaching children that their boundaries should be respected.,"Kindern beibringen, dass ihre Grenzen respektiert werden sollten.",de
teaching children that their boundaries should be respected.,बच्चों को यह सिखाना कि उनकी सीमाओं का सम्मान किया जाना चाहिए।,hi
teaching children that their boundaries should be respected.,Enseñar a los niños que sus límites deben ser respetados.,es
teaching children that their boundaries should be respected.,ensinar às crianças que seus limites devem ser respeitados.,pt
keeping mementos of an old affair.,الاحتفاظ بتذكارات علاقة قديمة.,ar
keeping mementos of an old affair.,保留旧事的纪念品。,zh-CN
keeping mementos of an old affair.,garder les souvenirs d'une vieille affaire.,fr
keeping mementos of an old affair.,Erinnerungen an eine alte Angelegenheit bewahren.,de
keeping mementos of an old affair.,किसी पुराने प्रसंग की स्मृति चिन्ह रखना।,hi
keeping mementos of an old affair.,guardar recuerdos de una vieja aventura.,es
keeping mementos of an old affair.,guardando lembranças de um caso antigo.,pt
working at a fast food restaurant in your teens.,العمل في مطعم للوجبات السريعة في سن المراهقة.,ar
working at a fast food restaurant in your teens.,十几岁的时候在一家快餐店工作。,zh-CN
working at a fast food restaurant in your teens.,travailler dans un fast-food à l’adolescence.,fr
working at a fast food restaurant in your teens.,Als Teenager hast du in einem Fast-Food-Restaurant gearbeitet.,de
working at a fast food restaurant in your teens.,किशोरावस्था में फास्ट फूड रेस्तरां में काम करना।,hi
working at a fast food restaurant in your teens.,trabajando en un restaurante de comida rápida en su adolescencia.,es
working at a fast food restaurant in your teens.,trabalhando em um restaurante fast food na adolescência.,pt
keeping different types of friends separate.,الحفاظ على الأنواع المختلفة من الأصدقاء منفصلين.,ar
keeping different types of friends separate.,将不同类型的朋友分开。,zh-CN
keeping different types of friends separate.,garder différents types d'amis séparés.,fr
keeping different types of friends separate.,verschiedene Arten von Freunden getrennt halten.,de
keeping different types of friends separate.,विभिन्न प्रकार के मित्रों को अलग रखना।,hi
keeping different types of friends separate.,mantener separados diferentes tipos de amigos.,es
keeping different types of friends separate.,manter diferentes tipos de amigos separados.,pt
letting drunk people stay in your place.,السماح للأشخاص في حالة سكر بالبقاء في مكانك.,ar
letting drunk people stay in your place.,让醉酒的人留在你的地方。,zh-CN
letting drunk people stay in your place.,laisser des gens ivres rester à votre place.,fr
letting drunk people stay in your place.,Lass betrunkene Leute bei dir bleiben.,de
letting drunk people stay in your place.,नशे में धुत्त लोगों को अपने स्थान पर रहने देना।,hi
letting drunk people stay in your place.,dejar que los borrachos se queden en tu casa.,es
letting drunk people stay in your place.,deixar pessoas bêbadas ficarem em sua casa.,pt
expecting people to thank you when you give them something.,توقع أن يشكرك الناس عندما تعطيهم شيئًا ما.,ar
expecting people to thank you when you give them something.,当你给他们一些东西时，期望人们感谢你。,zh-CN
expecting people to thank you when you give them something.,s'attendre à ce que les gens vous remercient lorsque vous leur donnez quelque chose.,fr
expecting people to thank you when you give them something.,"Erwarte, dass die Leute dir danken, wenn du ihnen etwas gibst.",de
expecting people to thank you when you give them something.,लोगों से अपेक्षा करना कि जब आप उन्हें कुछ देंगे तो वे आपको धन्यवाद देंगे।,hi
expecting people to thank you when you give them something.,esperando que la gente te agradezca cuando les das algo.,es
expecting people to thank you when you give them something.,esperar que as pessoas lhe agradeçam quando você lhes dá algo.,pt
not sharing your food.,عدم مشاركة طعامك.,ar
not sharing your food.,不分享你的食物。,zh-CN
not sharing your food.,ne pas partager votre nourriture.,fr
not sharing your food.,Ihr Essen nicht teilen.,de
not sharing your food.,अपना खाना साझा नहीं करना,hi
not sharing your food.,No compartir tu comida.,es
not sharing your food.,não compartilhar sua comida.,pt
taking parenting advice from doctors.,أخذ النصائح الوالدية من الأطباء.,ar
taking parenting advice from doctors.,听取医生的育儿建议。,zh-CN
taking parenting advice from doctors.,suivre les conseils parentaux des médecins.,fr
taking parenting advice from doctors.,Erziehungsratschläge von Ärzten einholen.,de
taking parenting advice from doctors.,डॉक्टरों से पालन-पोषण संबंधी सलाह लेना।,hi
taking parenting advice from doctors.,seguir los consejos de los médicos para ser padres.,es
taking parenting advice from doctors.,seguindo conselhos dos médicos sobre os pais.,pt
not keeping in contact with ex's.,عدم البقاء على اتصال مع السابقين.,ar
not keeping in contact with ex's.,不再和前任保持联系。,zh-CN
not keeping in contact with ex's.,ne pas rester en contact avec ses ex.,fr
not keeping in contact with ex's.,keinen Kontakt zu Ex halten.,de
not keeping in contact with ex's.,पूर्व के संपर्क में न रहना।,hi
not keeping in contact with ex's.,No mantener contacto con ex.,es
not keeping in contact with ex's.,não manter contato com ex.,pt
picking your teeth in public.,اختيار أسنانك في الأماكن العامة.,ar
picking your teeth in public.,在公共场合剔牙。,zh-CN
picking your teeth in public.,se curer les dents en public.,fr
picking your teeth in public.,In der Öffentlichkeit in den Zähnen bohren.,de
picking your teeth in public.,सार्वजनिक रूप से अपने दाँत काटना।,hi
picking your teeth in public.,hurgarse los dientes en público.,es
picking your teeth in public.,palitar os dentes em público.,pt
being angry when your divorced parents fight about your wedding.,الغضب عندما يتشاجر والديك المطلقان بشأن حفل زفافك.,ar
being angry when your divorced parents fight about your wedding.,当你离婚的父母为你的婚礼争吵时感到愤怒。,zh-CN
being angry when your divorced parents fight about your wedding.,être en colère lorsque vos parents divorcés se disputent à propos de votre mariage.,fr
being angry when your divorced parents fight about your wedding.,"wütend sein, wenn sich deine geschiedenen Eltern wegen deiner Hochzeit streiten.",de
being angry when your divorced parents fight about your wedding.,जब आपके तलाकशुदा माता-पिता आपकी शादी को लेकर झगड़ते हैं तो क्रोधित होना।,hi
being angry when your divorced parents fight about your wedding.,Estar enojado cuando tus padres divorciados pelean por tu boda.,es
being angry when your divorced parents fight about your wedding.,ficar com raiva quando seus pais divorciados brigam por causa do seu casamento.,pt
giving up on your relationship.,التخلي عن علاقتك.,ar
giving up on your relationship.,放弃你们的关系。,zh-CN
giving up on your relationship.,abandonner votre relation.,fr
giving up on your relationship.,Gib deine Beziehung auf.,de
giving up on your relationship.,अपने रिश्ते को छोड़ना.,hi
giving up on your relationship.,Renunciar a tu relación.,es
giving up on your relationship.,desistir do seu relacionamento.,pt
respecting the religious beliefs of other people.,احترام المعتقدات الدينية للآخرين.,ar
respecting the religious beliefs of other people.,尊重他人的宗教信仰。,zh-CN
respecting the religious beliefs of other people.,respecter les croyances religieuses des autres.,fr
respecting the religious beliefs of other people.,Respekt vor den religiösen Überzeugungen anderer Menschen.,de
respecting the religious beliefs of other people.,अन्य लोगों की धार्मिक मान्यताओं का सम्मान करना।,hi
respecting the religious beliefs of other people.,Respetar las creencias religiosas de otras personas.,es
respecting the religious beliefs of other people.,respeitando as crenças religiosas de outras pessoas.,pt
helping children.,مساعدة الأطفال.,ar
helping children.,帮助孩子们。,zh-CN
helping children.,Aider les enfants.,fr
helping children.,Kindern helfen.,de
helping children.,बच्चों की मदद करना.,hi
helping children.,ayudando niños.,es
helping children.,ajudando as crianças.,pt
having a fetish.,وجود صنم.,ar
having a fetish.,有恋物癖。,zh-CN
having a fetish.,avoir un fétiche.,fr
having a fetish.,einen Fetisch haben.,de
having a fetish.,बुत होना.,hi
having a fetish.,tener un fetiche.,es
having a fetish.,ter um fetiche.,pt
informing your boss about illegal or unethical activities you observe during work.,إبلاغ رئيسك في العمل عن الأنشطة غير القانونية أو غير الأخلاقية التي تلاحظها أثناء العمل.,ar
informing your boss about illegal or unethical activities you observe during work.,向您的老板通报您在工作期间观察到的非法或不道德行为。,zh-CN
informing your boss about illegal or unethical activities you observe during work.,informer votre patron des activités illégales ou contraires à l'éthique que vous observez pendant le travail.,fr
informing your boss about illegal or unethical activities you observe during work.,"Informieren Sie Ihren Chef über illegale oder unethische Aktivitäten, die Sie während der Arbeit beobachten.",de
informing your boss about illegal or unethical activities you observe during work.,काम के दौरान आपके द्वारा देखी गई अवैध या अनैतिक गतिविधियों के बारे में अपने बॉस को सूचित करना।,hi
informing your boss about illegal or unethical activities you observe during work.,informar a su jefe sobre actividades ilegales o poco éticas que observe durante el trabajo.,es
informing your boss about illegal or unethical activities you observe during work.,informar seu chefe sobre atividades ilegais ou antiéticas que você observa durante o trabalho.,pt
wanting to make a lot of money.,الرغبة في كسب الكثير من المال.,ar
wanting to make a lot of money.,想要赚很多钱。,zh-CN
wanting to make a lot of money.,vouloir gagner beaucoup d'argent.,fr
wanting to make a lot of money.,viel Geld verdienen wollen.,de
wanting to make a lot of money.,बहुत सारा पैसा कमाना चाहते हैं.,hi
wanting to make a lot of money.,querer ganar mucho dinero.,es
wanting to make a lot of money.,querendo ganhar muito dinheiro.,pt
imposing upon your parents to provide you a place to live again when you've failed at life.,فرض على والديك أن يوفروا لك مكانًا للعيش فيه مرة أخرى عندما تفشل في الحياة.,ar
imposing upon your parents to provide you a place to live again when you've failed at life.,当你生活失败时，要求你的父母为你提供一个重新生活的地方。,zh-CN
imposing upon your parents to provide you a place to live again when you've failed at life.,imposer à vos parents de vous fournir à nouveau un endroit où vivre lorsque vous avez échoué dans la vie.,fr
imposing upon your parents to provide you a place to live again when you've failed at life.,"von deinen Eltern verlangen, dass sie dir wieder einen Platz zum Leben bieten, wenn du im Leben versagt hast.",de
imposing upon your parents to provide you a place to live again when you've failed at life.,जब आप जीवन में असफल हो जाएं तो अपने माता-पिता पर दोबारा रहने के लिए जगह देने का दबाव डालें।,hi
imposing upon your parents to provide you a place to live again when you've failed at life.,Imponer a tus padres que te proporcionen un lugar para vivir nuevamente cuando has fracasado en la vida.,es
imposing upon your parents to provide you a place to live again when you've failed at life.,impor a seus pais que lhe forneçam um lugar para morar novamente quando você falhar na vida.,pt
having any sexual fetish that turns you on.,وجود أي صنم جنسي يثيرك.,ar
having any sexual fetish that turns you on.,有任何让你兴奋的性癖好。,zh-CN
having any sexual fetish that turns you on.,avoir un fétichisme sexuel qui vous excite.,fr
having any sexual fetish that turns you on.,"einen sexuellen Fetisch haben, der dich anmacht.",de
having any sexual fetish that turns you on.,कोई भी यौन आकर्षण जो आपको उत्तेजित करता हो।,hi
having any sexual fetish that turns you on.,tener cualquier fetiche sexual que te excite.,es
having any sexual fetish that turns you on.,ter qualquer fetiche sexual que te excite.,pt
being afraid of growing apart from your partner.,الخوف من النمو بعيدًا عن شريك حياتك.,ar
being afraid of growing apart from your partner.,害怕与伴侣渐行渐远。,zh-CN
being afraid of growing apart from your partner.,avoir peur de se séparer de son partenaire.,fr
being afraid of growing apart from your partner.,"Angst davor haben, sich von Ihrem Partner zu trennen.",de
being afraid of growing apart from your partner.,अपने साथी से दूर होने का डर।,hi
being afraid of growing apart from your partner.,Tener miedo de alejarse de su pareja.,es
being afraid of growing apart from your partner.,ter medo de se separar de seu parceiro.,pt
telling your sibling what to do.,إخبار أخيك بما يجب فعله.,ar
telling your sibling what to do.,告诉你的兄弟姐妹该怎么做。,zh-CN
telling your sibling what to do.,dire à votre frère quoi faire.,fr
telling your sibling what to do.,"Sagen Sie Ihren Geschwistern, was sie tun sollen.",de
telling your sibling what to do.,अपने भाई-बहन को बताना कि क्या करना है।,hi
telling your sibling what to do.,decirle a tu hermano qué hacer.,es
telling your sibling what to do.,dizendo ao seu irmão o que fazer.,pt
getting your partner to dump you.,جعل شريكك يتخلص منك.,ar
getting your partner to dump you.,让你的伴侣抛弃你。,zh-CN
getting your partner to dump you.,amener votre partenaire à vous larguer.,fr
getting your partner to dump you.,"Ihren Partner dazu bringen, Sie fallen zu lassen.",de
getting your partner to dump you.,अपने साथी से आपको त्यागने के लिए कहना।,hi
getting your partner to dump you.,conseguir que tu pareja te deje.,es
getting your partner to dump you.,fazer com que seu parceiro termine com você.,pt
leaving difficult issues to security to handle.,ترك القضايا الصعبة للأمن للتعامل معها.,ar
leaving difficult issues to security to handle.,将困难的问题留给安全部门来处理。,zh-CN
leaving difficult issues to security to handle.,laissant les problèmes difficiles à la sécurité.,fr
leaving difficult issues to security to handle.,Überlassen Sie schwierige Probleme der Sicherheit.,de
leaving difficult issues to security to handle.,कठिन मुद्दों को संभालने के लिए सुरक्षा पर छोड़ देना।,hi
leaving difficult issues to security to handle.,dejando los asuntos difíciles a cargo de la seguridad.,es
leaving difficult issues to security to handle.,deixando questões difíceis para a segurança resolver.,pt
letting your kids solve their own problems.,السماح لأطفالك بحل مشاكلهم بأنفسهم.,ar
letting your kids solve their own problems.,让你的孩子解决他们自己的问题。,zh-CN
letting your kids solve their own problems.,laisser vos enfants résoudre leurs propres problèmes.,fr
letting your kids solve their own problems.,Lassen Sie Ihre Kinder ihre eigenen Probleme lösen.,de
letting your kids solve their own problems.,अपने बच्चों को उनकी समस्याएँ स्वयं हल करने दें।,hi
letting your kids solve their own problems.,dejar que sus hijos resuelvan sus propios problemas.,es
letting your kids solve their own problems.,deixando seus filhos resolverem seus próprios problemas.,pt
finding a partner's siblings attractive.,العثور على أشقاء الشريك جذابين.,ar
finding a partner's siblings attractive.,发现伴侣的兄弟姐妹有吸引力。,zh-CN
finding a partner's siblings attractive.,trouver les frères et sœurs d'un partenaire attirants.,fr
finding a partner's siblings attractive.,die Geschwister eines Partners attraktiv finden.,de
finding a partner's siblings attractive.,साथी के भाई-बहनों को आकर्षक पाना।,hi
finding a partner's siblings attractive.,Encontrar atractivos a los hermanos de una pareja.,es
finding a partner's siblings attractive.,achar os irmãos do parceiro atraentes.,pt
fining someone on their birthday.,تغريم شخص ما في عيد ميلاده.,ar
fining someone on their birthday.,在某人生日那天对其进行罚款。,zh-CN
fining someone on their birthday.,infliger une amende à quelqu'un le jour de son anniversaire.,fr
fining someone on their birthday.,jemandem an seinem Geburtstag eine Geldstrafe auferlegen.,de
fining someone on their birthday.,किसी को उसके जन्मदिन पर जुर्माना लगाना।,hi
fining someone on their birthday.,multar a alguien en su cumpleaños.,es
fining someone on their birthday.,multar alguém em seu aniversário.,pt
expecting people to behave the same in the north when you move from the south.,تتوقع أن يتصرف الناس بنفس الطريقة في الشمال عندما تنتقل من الجنوب.,ar
expecting people to behave the same in the north when you move from the south.,当你从南方搬来时，期望人们在北方也能表现得一样。,zh-CN
expecting people to behave the same in the north when you move from the south.,s'attendre à ce que les gens se comportent de la même manière dans le nord lorsque vous quittez le sud.,fr
expecting people to behave the same in the north when you move from the south.,"Erwarten Sie, dass sich die Menschen im Norden genauso verhalten, wenn Sie aus dem Süden ziehen.",de
expecting people to behave the same in the north when you move from the south.,जब आप दक्षिण से आगे बढ़ेंगे तो उत्तर में भी लोगों से वैसा ही व्यवहार करने की अपेक्षा करना।,hi
expecting people to behave the same in the north when you move from the south.,esperar que la gente se comporte igual en el norte cuando uno se muda desde el sur.,es
expecting people to behave the same in the north when you move from the south.,esperar que as pessoas se comportem da mesma forma no norte quando você vem do sul.,pt
expecting people to always pay off their loans.,توقع أن يقوم الناس دائمًا بسداد قروضهم.,ar
expecting people to always pay off their loans.,期望人们总是还清贷款。,zh-CN
expecting people to always pay off their loans.,s'attendre à ce que les gens remboursent toujours leurs prêts.,fr
expecting people to always pay off their loans.,"Sie erwarten von den Menschen, dass sie ihre Kredite immer zurückzahlen.",de
expecting people to always pay off their loans.,लोगों से यह अपेक्षा करना कि वे हमेशा अपना ऋण चुकाएँ।,hi
expecting people to always pay off their loans.,esperando que la gente siempre liquide sus préstamos.,es
expecting people to always pay off their loans.,esperando que as pessoas sempre paguem seus empréstimos.,pt
being with family.,متواجد مع عائلة.,ar
being with family.,与家人在一起。,zh-CN
being with family.,être en famille.,fr
being with family.,mit der Familie sein.,de
being with family.,परिवार के साथ रहना.,hi
being with family.,estar con la familia.,es
being with family.,estar com a família.,pt
being bored when you go to the zoo.,الشعور بالملل عندما تذهب إلى حديقة الحيوان.,ar
being bored when you go to the zoo.,当你去动物园时感到无聊。,zh-CN
being bored when you go to the zoo.,s'ennuyer quand tu vas au zoo.,fr
being bored when you go to the zoo.,"Langeweile, wenn man in den Zoo geht.",de
being bored when you go to the zoo.,जब आप चिड़ियाघर जाते हैं तो ऊब जाते हैं।,hi
being bored when you go to the zoo.,aburrirse cuando vas al zoológico.,es
being bored when you go to the zoo.,ficar entediado quando você vai ao zoológico.,pt
upholding rules and laws,احترام القواعد والقوانين,ar
upholding rules and laws,维护规则和法律,zh-CN
upholding rules and laws,faire respecter les règles et les lois,fr
upholding rules and laws,Einhaltung von Regeln und Gesetzen,de
upholding rules and laws,नियमों और कानूनों का पालन करना,hi
upholding rules and laws,respetar las reglas y leyes,es
upholding rules and laws,defender regras e leis,pt
people getting married when they find someone they like.,الناس يتزوجون عندما يجدون شخصًا يحبونه.,ar
people getting married when they find someone they like.,人们找到自己喜欢的人后就会结婚。,zh-CN
people getting married when they find someone they like.,les gens se marient quand ils trouvent quelqu'un qui leur plaît.,fr
people getting married when they find someone they like.,"Menschen heiraten, wenn sie jemanden finden, den sie mögen.",de
people getting married when they find someone they like.,लोग तब शादी करते हैं जब उन्हें कोई ऐसा व्यक्ति मिल जाता है जिसे वे पसंद करते हैं।,hi
people getting married when they find someone they like.,Las personas se casan cuando encuentran a alguien que les gusta.,es
people getting married when they find someone they like.,pessoas que se casam quando encontram alguém de quem gostam.,pt
wasting food.,إضاعة الطعام.,ar
wasting food.,浪费食物。,zh-CN
wasting food.,gaspiller de la nourriture.,fr
wasting food.,Essen verschwenden.,de
wasting food.,खाना बर्बाद करना.,hi
wasting food.,malgastando comida.,es
wasting food.,desperdiçando comida.,pt
being with someone you don't love.,أن تكون مع شخص لا تحبه.,ar
being with someone you don't love.,和一个你不爱的人在一起。,zh-CN
being with someone you don't love.,être avec quelqu'un qu'on n'aime pas.,fr
being with someone you don't love.,"mit jemandem zusammen sein, den du nicht liebst.",de
being with someone you don't love.,किसी ऐसे व्यक्ति के साथ रहना जिसे आप प्यार नहीं करते।,hi
being with someone you don't love.,estar con alguien que no amas.,es
being with someone you don't love.,estar com alguém que você não ama.,pt
not hating the art others create.,عدم كره الفن الذي يصنعه الآخرون.,ar
not hating the art others create.,不讨厌别人创造的艺术。,zh-CN
not hating the art others create.,ne pas détester l’art que les autres créent.,fr
not hating the art others create.,"Ich hasse nicht die Kunst, die andere schaffen.",de
